"order";"family";"feature";"data_set";"tolerance";"case_def"
56;"Diagnostics-resegmented ROI";"Int. mask voxel count";"case_3";674.275;"B"
56;"Diagnostics-resegmented ROI";"Int. mask voxel count";"case_4";0;"B"
56;"Diagnostics-resegmented ROI";"Int. mask voxel count";"case_5";485.775;"B"
57;"Diagnostics-resegmented ROI";"Morph. mask voxel count";"case_1";296;"B"
57;"Diagnostics-resegmented ROI";"Morph. mask voxel count";"case_2";295.125;"B"
57;"Diagnostics-resegmented ROI";"Morph. mask voxel count";"case_3";675.1875;"B"
57;"Diagnostics-resegmented ROI";"Morph. mask voxel count";"case_4";0;"B"
57;"Diagnostics-resegmented ROI";"Morph. mask voxel count";"case_5";675.1875;"B"
58;"Diagnostics-resegmented ROI";"Int. mask mean intensity";"case_1";0.964243596792221;"B"
58;"Diagnostics-resegmented ROI";"Int. mask mean intensity";"case_2";0.965288218855858;"B"
58;"Diagnostics-resegmented ROI";"Int. mask mean intensity";"case_3";2.74878039360046;"B"
58;"Diagnostics-resegmented ROI";"Int. mask mean intensity";"case_4";0;"B"
58;"Diagnostics-resegmented ROI";"Int. mask mean intensity";"case_5";0.997900176048279;"B"
59;"Diagnostics-resegmented ROI";"Int. mask minimum intensity";"case_1";0;"B"
59;"Diagnostics-resegmented ROI";"Int. mask minimum intensity";"case_2";0;"B"
59;"Diagnostics-resegmented ROI";"Int. mask minimum intensity";"case_3";3.1875;"B"
59;"Diagnostics-resegmented ROI";"Int. mask minimum intensity";"case_4";0;"B"
59;"Diagnostics-resegmented ROI";"Int. mask minimum intensity";"case_5";5.15;"B"
60;"Diagnostics-resegmented ROI";"Int. mask maximum intensity";"case_1";7.8625;"B"
60;"Diagnostics-resegmented ROI";"Int. mask maximum intensity";"case_2";8.0375;"B"
60;"Diagnostics-resegmented ROI";"Int. mask maximum intensity";"case_3";10.05;"B"
60;"Diagnostics-resegmented ROI";"Int. mask maximum intensity";"case_4";0;"B"
60;"Diagnostics-resegmented ROI";"Int. mask maximum intensity";"case_5";7.575;"B"
61;"Morphology";"Volume";"case_1";3538.7625;"B"
61;"Morphology";"Volume";"case_2";3540.5875;"B"
61;"Morphology";"Volume";"case_3";5400.125;"B"
61;"Morphology";"Volume";"case_4";0;"B"
61;"Morphology";"Volume";"case_5";5400.125;"B"
62;"Morphology";"Approximate volume";"case_1";3538.78358167982;"B"
62;"Morphology";"Approximate volume";"case_2";3541.5;"B"
62;"Morphology";"Approximate volume";"case_3";5401.5;"B"
62;"Morphology";"Approximate volume";"case_4";0;"B"
62;"Morphology";"Approximate volume";"case_5";5401.5;"B"
63;"Morphology";"Surface area";"case_1";192.292317912025;"B"
63;"Morphology";"Surface area";"case_2";192.366187221311;"B"
63;"Morphology";"Surface area";"case_3";247.628055507634;"B"
63;"Morphology";"Surface area";"case_4";0;"B"
63;"Morphology";"Surface area";"case_5";247.628055507634;"B"
64;"Morphology";"Surface to volume ratio";"case_1";0.000376343289192904;"B"
64;"Morphology";"Surface to volume ratio";"case_2";0.000370136326227555;"B"
64;"Morphology";"Surface to volume ratio";"case_3";0.00062314524968098;"B"
64;"Morphology";"Surface to volume ratio";"case_4";0;"B"
64;"Morphology";"Surface to volume ratio";"case_5";0.00062314524968098;"B"
65;"Morphology";"Compactness 1";"case_1";3.48237417443734e-05;"B"
65;"Morphology";"Compactness 1";"case_2";3.34599117619891e-05;"B"
65;"Morphology";"Compactness 1";"case_3";0.000139221509766499;"B"
65;"Morphology";"Compactness 1";"case_4";0;"B"
65;"Morphology";"Compactness 1";"case_5";0.000139221509766499;"B"
66;"Morphology";"Compactness 2";"case_1";0.000800164165035125;"B"
66;"Morphology";"Compactness 2";"case_2";0.000769640796951149;"B"
66;"Morphology";"Compactness 2";"case_3";0.00344481051316892;"B"
66;"Morphology";"Compactness 2";"case_4";0;"B"
66;"Morphology";"Compactness 2";"case_5";0.00344481051316892;"B"
67;"Morphology";"Spherical disproportion";"case_1";0.000998853291430568;"B"
67;"Morphology";"Spherical disproportion";"case_2";0.000958036557612607;"B"
67;"Morphology";"Spherical disproportion";"case_3";0.0035336031178605;"B"
67;"Morphology";"Spherical disproportion";"case_4";0;"B"
67;"Morphology";"Spherical disproportion";"case_5";0.0035336031178605;"B"
68;"Morphology";"Sphericity";"case_1";0.000516136826475205;"B"
68;"Morphology";"Sphericity";"case_2";0.000495747694123877;"B"
68;"Morphology";"Sphericity";"case_3";0.00201337668619494;"B"
68;"Morphology";"Sphericity";"case_4";0;"B"
68;"Morphology";"Sphericity";"case_5";0.00201337668619494;"B"
69;"Morphology";"Asphericity";"case_1";0.000998853291430568;"B"
69;"Morphology";"Asphericity";"case_2";0.000958036557612602;"B"
69;"Morphology";"Asphericity";"case_3";0.00353360311786049;"B"
69;"Morphology";"Asphericity";"case_4";0;"B"
69;"Morphology";"Asphericity";"case_5";0.00353360311786049;"B"
70;"Morphology";"Centre of mass shift";"case_1";28.176717952639;"B"
70;"Morphology";"Centre of mass shift";"case_2";28.9326481519706;"B"
70;"Morphology";"Centre of mass shift";"case_3";2.58800890686439;"B"
70;"Morphology";"Centre of mass shift";"case_4";0;"B"
70;"Morphology";"Centre of mass shift";"case_5";1.05842551545389;"B"
71;"Morphology";"Maximum 3D diameter";"case_1";0.25262633588552;"B"
71;"Morphology";"Maximum 3D diameter";"case_2";0.25262633588552;"B"
