"order";"family";"feature";"data_set";"tolerance"
40;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension y";"case_5";0.15
41;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension z";"case_1";0
41;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension z";"case_2";0
41;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension z";"case_3";0
41;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension z";"case_4";0
41;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension z";"case_5";0
42;"Diagnostics-interpolated ROI";"Int. mask voxel count";"case_1";4.75
42;"Diagnostics-interpolated ROI";"Int. mask voxel count";"case_2";4.475
42;"Diagnostics-interpolated ROI";"Int. mask voxel count";"case_3";8.1
42;"Diagnostics-interpolated ROI";"Int. mask voxel count";"case_4";8.1
42;"Diagnostics-interpolated ROI";"Int. mask voxel count";"case_5";8.1
43;"Diagnostics-interpolated ROI";"Morph. mask voxel count";"case_1";4.75
43;"Diagnostics-interpolated ROI";"Morph. mask voxel count";"case_2";4.475
43;"Diagnostics-interpolated ROI";"Morph. mask voxel count";"case_3";8.1
43;"Diagnostics-interpolated ROI";"Morph. mask voxel count";"case_4";8.1
43;"Diagnostics-interpolated ROI";"Morph. mask voxel count";"case_5";8.1
44;"Diagnostics-interpolated ROI";"Int. mask mean intensity";"case_1";0.0183212280273438
44;"Diagnostics-interpolated ROI";"Int. mask mean intensity";"case_2";0.0183212280273438
44;"Diagnostics-interpolated ROI";"Int. mask mean intensity";"case_3";0.0156459331512451
44;"Diagnostics-interpolated ROI";"Int. mask mean intensity";"case_4";0.0156459331512451
44;"Diagnostics-interpolated ROI";"Int. mask mean intensity";"case_5";0.0155887603759766
45;"Diagnostics-interpolated ROI";"Int. mask minimum intensity";"case_1";0.95
45;"Diagnostics-interpolated ROI";"Int. mask minimum intensity";"case_2";0.775
45;"Diagnostics-interpolated ROI";"Int. mask minimum intensity";"case_3";0.45
45;"Diagnostics-interpolated ROI";"Int. mask minimum intensity";"case_4";0.45
45;"Diagnostics-interpolated ROI";"Int. mask minimum intensity";"case_5";0.725
46;"Diagnostics-interpolated ROI";"Int. mask maximum intensity";"case_1";5.675
46;"Diagnostics-interpolated ROI";"Int. mask maximum intensity";"case_2";5.3625
46;"Diagnostics-interpolated ROI";"Int. mask maximum intensity";"case_3";3.35
46;"Diagnostics-interpolated ROI";"Int. mask maximum intensity";"case_4";3.35
46;"Diagnostics-interpolated ROI";"Int. mask maximum intensity";"case_5";4.0125
47;"Diagnostics-resegmented ROI";"Int. mask dimension x";"case_1";0.65
47;"Diagnostics-resegmented ROI";"Int. mask dimension x";"case_2";0.65
47;"Diagnostics-resegmented ROI";"Int. mask dimension x";"case_3";0.65
47;"Diagnostics-resegmented ROI";"Int. mask dimension x";"case_4";0.65
47;"Diagnostics-resegmented ROI";"Int. mask dimension x";"case_5";0.65
48;"Diagnostics-resegmented ROI";"Int. mask dimension y";"case_1";0.7
48;"Diagnostics-resegmented ROI";"Int. mask dimension y";"case_2";0.7
48;"Diagnostics-resegmented ROI";"Int. mask dimension y";"case_3";0.7
48;"Diagnostics-resegmented ROI";"Int. mask dimension y";"case_4";0.7
48;"Diagnostics-resegmented ROI";"Int. mask dimension y";"case_5";0.7
49;"Diagnostics-resegmented ROI";"Int. mask dimension z";"case_1";0
49;"Diagnostics-resegmented ROI";"Int. mask dimension z";"case_2";0
49;"Diagnostics-resegmented ROI";"Int. mask dimension z";"case_3";0
49;"Diagnostics-resegmented ROI";"Int. mask dimension z";"case_4";0
49;"Diagnostics-resegmented ROI";"Int. mask dimension z";"case_5";0
50;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension x";"case_1";0.15
50;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension x";"case_2";0.15
50;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension x";"case_3";0.15
50;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension x";"case_4";0.15
50;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension x";"case_5";0.15
51;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension y";"case_1";0.15
51;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension y";"case_2";0.2
51;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension y";"case_3";0.1625
51;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension y";"case_4";0.1625
51;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension y";"case_5";0.1625
